"word","n_pos","n_neg","log_odds"
"ridiculous",10,32,-1.3992132912141
"lack",27,89,-1.46820616270105
"horrible",20,68,-1.49018506941983
"loud",29,99,-1.50457380687193
"attitude",19,66,-1.50956134838296
"weird",17,62,-1.55336397104136
"noise",11,42,-1.57689446845155
"poor",19,73,-1.60893382219617
"disappoint",38,152,-1.66747727780878
"con",15,62,-1.67114700669774
"tiny",12,55,-1.7610033358196
"screw",10,48,-1.79452602785825
"difficult",16,79,-1.84941429316366
"terrible",12,63,-1.89453472844413
"hate",27,142,-1.93124112263069
"annoy",10,56,-1.94575699758217
"warn",11,63,-1.97457743611766
"rude",16,93,-2.01068244075978
"suck",12,75,-2.06638498537078
"bland",10,71,-2.17937184876368
