"word","n_pos","n_neg","log_odds"
"people",405,452,-0.410139968427292
"table",329,378,-0.439044553167891
"expect",188,232,-0.509892441052049
"line",155,198,-0.544049820020946
"run",134,177,-0.577109774399646
"issue",140,188,-0.593588127227465
"break",78,115,-0.684743341185333
"cold",67,109,-0.781573663162301
"wrong",74,125,-0.819394795961158
"bad",272,461,-0.826694098442769
"due",56,96,-0.832260713214823
"stand",63,115,-0.895308110292683
"prepare",48,89,-0.908590374765629
"hard",129,250,-0.958519491222193
"park",116,249,-1.05988798561048
"expensive",60,131,-1.07252906095905
"slow",43,95,-1.08075956009557
"pain",33,74,-1.09172859146614
"bite",216,482,-1.1007203026581
"complain",33,80,-1.16868963260227
"negative",38,92,-1.1696388495696
"realize",28,75,-1.26403851284585
"lose",24,65,-1.27137991970422
"kinda",20,57,-1.31652157536899
"pricey",28,80,-1.32775432723196
"limit",25,73,-1.34656955772868
"complaint",43,125,-1.35269327557921
"avoid",23,69,-1.3710424142474
"sad",23,71,-1.3992132912141
"lack",27,89,-1.46820616270105
"horrible",20,68,-1.49018506941983
"loud",29,99,-1.50457380687193
"attitude",19,66,-1.50956134838296
"weird",17,62,-1.55336397104136
"poor",19,73,-1.60893382219617
"disappoint",38,152,-1.66747727780878
"con",15,62,-1.67114700669774
"difficult",16,79,-1.84941429316366
"hate",27,142,-1.93124112263069
"rude",16,93,-2.01068244075978
