"word","n_pos","n_neg","log_odds"
"excite",298,21,2.30880011748638
"amaze",290,29,1.97152488296335
"awesome",172,18,1.90825161278535
"delicious",167,18,1.87892399769083
"decent",172,19,1.8569583183978
"nice",829,118,1.64170120513312
"friendly",344,50,1.61111778176104
"love",613,100,1.50427340875989
"perfect",136,22,1.48388570735298
"glad",91,17,1.33081581660689
"tasty",101,19,1.32863953718429
"professional",78,17,1.17847509202487
"quick",143,33,1.14285177241385
"fun",123,29,1.11848318139689
"clean",359,90,1.07464352238732
"dr",92,24,1.01312266573906
"happy",306,83,0.995429946197893
"plenty",72,19,0.994126165048409
"free",329,91,0.976703074865495
"mouth",72,20,0.945336000878977
"forward",70,20,0.917556436771902
"greet",93,28,0.87539794973754
"quickly",174,53,0.875200924813249
"enjoy",279,87,0.856851786145052
"fine",202,64,0.83821770660016
"coupon",55,17,0.834378930292994
"favor",51,16,0.81742937197922
"cake",127,41,0.813759643090258
"provide",62,20,0.798011286122119
"pho",64,21,0.782743813991331
"downtown",55,18,0.780311709022717
"accommodate",46,15,0.776957876924287
"convenient",46,15,0.776957876924287
"wow",69,23,0.769840409155423
"atmosphere",125,43,0.751491270487226
"satisfy",58,20,0.732414003636306
"decide",245,87,0.727393718908165
"fresh",177,63,0.722299464386422
"bacon",65,23,0.710999909132489
"burrito",56,20,0.697927827565136
"decor",88,32,0.691527805719669
"sample",42,15,0.688010390907791
"birthday",90,33,0.683897979354698
"staff",375,142,0.666143510583997
"finish",175,66,0.665190373101195
"treatment",41,15,0.664479893497597
"god",43,16,0.650375287316055
"cool",130,50,0.642770687930835
"bone",63,24,0.639406255945481
"bread",154,60,0.631950250199945
