"word","n_pos","n_neg","log_odds"
"excite",298,21,2.30880011748638
"amaze",290,29,1.97152488296335
"awesome",172,18,1.90825161278535
"delicious",167,18,1.87892399769083
"decent",172,19,1.8569583183978
"nice",829,118,1.64170120513312
"friendly",344,50,1.61111778176104
"love",613,100,1.50427340875989
"perfect",136,22,1.48388570735298
"quick",143,33,1.14285177241385
"clean",359,90,1.07464352238732
"happy",306,83,0.995429946197893
"free",329,91,0.976703074865495
"quickly",174,53,0.875200924813249
"enjoy",279,87,0.856851786145052
"fine",202,64,0.83821770660016
"decide",245,87,0.727393718908165
"fresh",177,63,0.722299464386422
"staff",375,142,0.666143510583997
"finish",175,66,0.665190373101195
"friend",335,134,0.611235378978784
"meal",330,132,0.611168244609319
"recommend",237,98,0.576549820990895
"food",1498,663,0.513670346080174
"job",201,89,0.507857024524949
"offer",263,117,0.50466347613466
"manager",214,97,0.4850695469111
"live",210,103,0.406866231788704
"meat",201,99,0.402496508867122
"pretty",375,189,0.381964068683418
"pizza",234,120,0.363193966001427
"cheap",243,125,0.360285315795734
"chicken",303,156,0.360180893511924
"bar",294,155,0.336518346544292
"stay",233,124,0.32640637550941
"minute",422,225,0.326236177228001
"check",321,176,0.297800810424589
"review",496,273,0.294860917162568
"service",918,513,0.280461854354531
"visit",251,140,0.280068194587265
"eat",696,390,0.277476848229168
