"bigram","neg_count","pos_count","total_count","pmi_pos","pmi_neg","pmi_diff"
"thai tea",5,1,6,-1.8092068242743,1.00259666323807,-2.81180348751237
"check engine",6,1,7,-2.03159924560907,1.04323864773709,-3.07483789334616
"slow service",6,1,7,-2.03159924560907,1.04323864773709,-3.07483789334616
"street park",6,1,7,-2.03159924560907,1.04323864773709,-3.07483789334616
"waste time",6,1,7,-2.03159924560907,1.04323864773709,-3.07483789334616
"hour wait",13,2,15,-2.13113491915463,1.05918019161146,-3.1903151107661
"bed bug",7,1,8,-2.22424432355021,1.0729859911324,-3.29723031468261
"cell phone",7,1,8,-2.22424432355021,1.0729859911324,-3.29723031468261
"dog park",7,1,8,-2.22424432355021,1.0729859911324,-3.29723031468261
"negative comment",7,1,8,-2.22424432355021,1.0729859911324,-3.29723031468261
"seat inside",7,1,8,-2.22424432355021,1.0729859911324,-3.29723031468261
"step foot",7,1,8,-2.22424432355021,1.0729859911324,-3.29723031468261
"bite slow",8,1,9,-2.39416932499155,1.09570606763346,-3.489875392625
"limit seat",8,1,9,-2.39416932499155,1.09570606763346,-3.489875392625
"bite hard",9,1,10,-2.54617241843582,1.1136279756315,-3.65980039406732
"engine light",9,1,10,-2.54617241843582,1.1136279756315,-3.65980039406732
"time find",10,1,11,-2.68367594218511,1.12812754532725,-3.81180348751237
"absolutely hate",5,0,5,-Inf,1.26563106906952,-Inf
"accept cash",6,0,6,-Inf,1.26563106907186,-Inf
"arrive late",7,0,7,-Inf,1.26563106907354,-Inf
"bad customer",5,0,5,-Inf,1.26563106906952,-Inf
"bathroom door",5,0,5,-Inf,1.26563106906952,-Inf
"bite confuse",7,0,7,-Inf,1.26563106907354,-Inf
"bite disappoint",9,0,9,-Inf,1.26563106907577,-Inf
"bite odd",6,0,6,-Inf,1.26563106907186,-Inf
"bite overwhelm",5,0,5,-Inf,1.26563106906952,-Inf
"bite soggy",5,0,5,-Inf,1.26563106906952,-Inf
"blah blah",7,0,7,-Inf,1.26563106907354,-Inf
"breakfast food",6,0,6,-Inf,1.26563106907186,-Inf
"degree weather",5,0,5,-Inf,1.26563106906952,-Inf
"dinner menu",7,0,7,-Inf,1.26563106907354,-Inf
"eye contact",5,0,5,-Inf,1.26563106906952,-Inf
"fairmount bagel",5,0,5,-Inf,1.26563106906952,-Inf
"flat tire",5,0,5,-Inf,1.26563106906952,-Inf
"luke warm",7,0,7,-Inf,1.26563106907354,-Inf
"mistake happen",5,0,5,-Inf,1.26563106906952,-Inf
"pay extra",5,0,5,-Inf,1.26563106906952,-Inf
"people complain",6,0,6,-Inf,1.26563106907186,-Inf
"pretty bad",9,0,9,-Inf,1.26563106907577,-Inf
"pretty expensive",5,0,5,-Inf,1.26563106906952,-Inf
"rat rat",5,0,5,-Inf,1.26563106906952,-Inf
"rush hour",8,0,8,-Inf,1.26563106907479,-Inf
"slightly disappoint",5,0,5,-Inf,1.26563106906952,-Inf
"stop come",5,0,5,-Inf,1.26563106906952,-Inf
"strip club",7,0,7,-Inf,1.26563106907354,-Inf
"taste funny",5,0,5,-Inf,1.26563106906952,-Inf
"terrible experience",7,0,7,-Inf,1.26563106907354,-Inf
"terrible service",5,0,5,-Inf,1.26563106906952,-Inf
"trouble find",5,0,5,-Inf,1.26563106906952,-Inf
"wait forever",9,0,9,-Inf,1.26563106907577,-Inf
