"trigram","n_pos","n_neg","log_odds"
"upsell upsell",0,2,-1.43789213424095
"upstairs unit",0,2,-1.43789213424095
"uv gel",0,2,-1.43789213424095
"valet guy",0,2,-1.43789213424095
"valuable lesson",0,2,-1.43789213424095
"vastly overpriced",0,2,-1.43789213424095
"vega water",0,2,-1.43789213424095
"vet office",0,2,-1.43789213424095
"vinyl click",0,2,-1.43789213424095
"waffle cone",0,2,-1.43789213424095
"waitress forget",0,2,-1.43789213424095
"walk straight",0,2,-1.43789213424095
"walmart shop",0,2,-1.43789213424095
"warm air",0,2,-1.43789213424095
"warm beer",0,2,-1.43789213424095
"warm spring",0,2,-1.43789213424095
"warm towel",0,2,-1.43789213424095
"water cup",0,2,-1.43789213424095
"water leak",0,2,-1.43789213424095
"weekend dinner",0,2,-1.43789213424095
"weird smell",0,2,-1.43789213424095
"wet republic",0,2,-1.43789213424095
"white smoke",0,2,-1.43789213424095
"wilt lettuce",0,2,-1.43789213424095
"windshield replace",0,2,-1.43789213424095
"wine pair",0,2,-1.43789213424095
"womens button",0,2,-1.43789213424095
"wrong food",0,2,-1.43789213424095
"yoga studio",0,2,-1.43789213424095
"bad experience",14,44,-1.43789213424095
"hard time",4,15,-1.50243065537852
"check engine",1,6,-1.5920428140682
"slow service",1,6,-1.5920428140682
"street park",1,6,-1.5920428140682
"waste time",1,6,-1.5920428140682
"horrible experience",2,10,-1.6385628297031
"bed bug",1,7,-1.72557420669273
"cell phone",1,7,-1.72557420669273
"dog park",1,7,-1.72557420669273
"negative comment",1,7,-1.72557420669273
"seat inside",1,7,-1.72557420669273
"step foot",1,7,-1.72557420669273
"ac company",0,3,-1.72557420669273
"accept card",0,3,-1.72557420669273
"accept credit",0,3,-1.72557420669273
"aggressive dog",0,3,-1.72557420669273
"asian cuisine",0,3,-1.72557420669273
"bad situation",0,3,-1.72557420669273
"bean sprout",0,3,-1.72557420669273
"bed set",0,3,-1.72557420669273
"bite difficult",0,3,-1.72557420669273
"bite skeptical",0,3,-1.72557420669273
"bite tough",0,3,-1.72557420669273
"blood boil",0,3,-1.72557420669273
"break glass",0,3,-1.72557420669273
"break ins",0,3,-1.72557420669273
"burn hot",0,3,-1.72557420669273
"busy buggy",0,3,-1.72557420669273
"busy friday",0,3,-1.72557420669273
"busy saturday",0,3,-1.72557420669273
"buy bottle",0,3,-1.72557420669273
"cambodian food",0,3,-1.72557420669273
"car accident",0,3,-1.72557420669273
"chain store",0,3,-1.72557420669273
"child care",0,3,-1.72557420669273
"clark county",0,3,-1.72557420669273
"completely dead",0,3,-1.72557420669273
"cream puff",0,3,-1.72557420669273
"debit card",0,3,-1.72557420669273
"del taco",0,3,-1.72557420669273
"desk girl",0,3,-1.72557420669273
"dinner time",0,3,-1.72557420669273
"dress shop",0,3,-1.72557420669273
"easy task",0,3,-1.72557420669273
"eat cold",0,3,-1.72557420669273
"eat inside",0,3,-1.72557420669273
"employee walk",0,3,-1.72557420669273
"empty hand",0,3,-1.72557420669273
"extremely difficult",0,3,-1.72557420669273
"fail attempt",0,3,-1.72557420669273
"finally seat",0,3,-1.72557420669273
"fix car",0,3,-1.72557420669273
"flat iron",0,3,-1.72557420669273
"food selection",0,3,-1.72557420669273
"fountain drink",0,3,-1.72557420669273
"freeze cold",0,3,-1.72557420669273
"freeze pizza",0,3,-1.72557420669273
"friday morning",0,3,-1.72557420669273
"front row",0,3,-1.72557420669273
"front tooth",0,3,-1.72557420669273
"fuel pump",0,3,-1.72557420669273
"graham cracker",0,3,-1.72557420669273
"grill meat",0,3,-1.72557420669273
"gym equipment",0,3,-1.72557420669273
"harkins theatre",0,3,-1.72557420669273
"head west",0,3,-1.72557420669273
"health care",0,3,-1.72557420669273
"ho hum",0,3,-1.72557420669273
"hot air",0,3,-1.72557420669273
"house special",0,3,-1.72557420669273
"immediately regret",0,3,-1.72557420669273
"kinda suck",0,3,-1.72557420669273
"king size",0,3,-1.72557420669273
"loud inside",0,3,-1.72557420669273
"mass produce",0,3,-1.72557420669273
"mattress store",0,3,-1.72557420669273
"minor complaint",0,3,-1.72557420669273
"minute prior",0,3,-1.72557420669273
"mobile device",0,3,-1.72557420669273
"nasty attitude",0,3,-1.72557420669273
"nit picky",0,3,-1.72557420669273
"obvious reason",0,3,-1.72557420669273
"painfully slow",0,3,-1.72557420669273
"plan ahead",0,3,-1.72557420669273
"plastic chair",0,3,-1.72557420669273
"power outlet",0,3,-1.72557420669273
