"word","n_pos","n_neg","log_odds"
"excite",298,21,2.30880011748638
"excellent",135,10,2.21415861039169
"helpful",124,11,2.04280608496831
"amaze",290,29,1.97152488296335
"awesome",172,18,1.90825161278535
"delicious",167,18,1.87892399769083
"decent",172,19,1.8569583183978
"beautiful",103,12,1.77884053913384
"wonderful",100,12,1.74957015683373
"nice",829,118,1.64170120513312
"friendly",344,50,1.61111778176104
"pleasant",77,11,1.5712011743556
"deserve",75,11,1.54522568795234
"highly",67,10,1.52101142983175
"love",613,100,1.50427340875989
"perfect",136,22,1.48388570735298
"polite",59,10,1.39584828687774
"fantastic",69,12,1.38294488204183
"glad",91,17,1.33081581660689
"tasty",101,19,1.32863953718429
